Statement,Header,Field Name,Field Value
Statement,Data,Title,Transaction History
Statement,Data,Period,"January 1, 2026 - March 20, 2026"
Statement,Data,WhenGenerated,"2026-03-21, 07:18:22 EDT"
Summary,Header,Field Name,Field Value
Summary,Data,Base Currency,USD
Summary,Data,Starting Cash,0.0
Summary,Data,Change,488092.3059
Summary,Data,Ending Cash,488092.3059
Transaction History,Header,Date,Account,Description,Transaction Type,Symbol,Quantity,Price,Price Currency,Gross Amount ,Commission,Net Amount
Transaction History,Data,2026-02-24,DUO116877,ZS 14MAY26 Position MTM,Position MTM,ZSK6,-,-,-,2750.0,-,2750.0
Transaction History,Data,2026-02-24,DUO116877,FCPO.MY 15APR26 Position MTM,Position MTM,FCPOJ6,-,-,-,-1059.34125,-,-1059.34125
Transaction History,Data,2026-02-24,DUO116877,CC JUN26 2800 P,Buy,COM6 P2800,40.0,145.0,USD,-58000.0,-118.8,-58118.8
Transaction History,Data,2026-02-23,DUO116877,ZS 14MAY26 Position MTM,Position MTM,ZSK6,-,-,-,-1750.0,-,-1750.0
Transaction History,Data,2026-02-23,DUO116877,FCPO.MY 15APR26 Position MTM,Position MTM,FCPOJ6,-,-,-,-192.75,-,-192.75
Transaction History,Data,2026-02-23,DUO116877,GC MAY26 5150 C,Sell,OGK6 C5150,-1.0,265.9,USD,26590.0,-2.52,26587.48
Transaction History,Data,2026-02-23,DUO116877,GC MAY26 5150 C,Sell,OGK6 C5150,-4.0,265.9,USD,106360.0,-10.08,106349.92
Transaction History,Data,2026-02-23,DUO116877,CC JUN26 3300 C,Sell,COM6 C3300,-2.0,300.0,USD,6000.0,-5.94,5994.06
Transaction History,Data,2026-02-23,DUO116877,SI APR26 82 P,Buy,SOJ6 P8200,1.0,5.475,USD,-27375.0,-2.52,-27377.52
Transaction History,Data,2026-02-23,DUO116877,SI APR26 84 P,Sell,SOJ6 P8400,-1.0,5.974,USD,29870.0,-2.52,29867.48
Transaction History,Data,2026-02-23,DUO116877,GC MAY26 5255 C,Sell,OGK6 C5255,-4.0,238.2,USD,95280.0,-10.08,95269.92
